Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom,Condenser_Duty_pred,Reboiler_Duty_pred,T_top_pred,T_mid_pred,T_bottom_pred,residual,anomaly
1.36,1.9,72.983,-74.3332,351.685,364.335,373.243,72.01266900000005,-73.36162949999981,351.66449,364.1947949999994,373.24300000000096,0.420523300000346,0
1.36,1.94444,74.1005,-75.4512,351.685,364.483,373.243,73.06049400000009,-74.4100945,351.6632649999993,364.3361350000007,373.24300000000096,0.44994230000017976,0
1.36,1.98889,75.2181,-76.5692,351.685,364.625,373.243,74.25428100000012,-75.60447099999993,351.66240499999947,364.49279,373.24300000000096,0.41667060000028755,0
1.36,2.03333,76.3355,-77.6871,351.684,364.762,373.243,75.18225449999983,-76.5329015000001,351.661835,364.6110899999995,373.24300000000096,0.4961038000003185,0
1.36,2.07778,77.4529,-78.805,351.684,364.895,373.243,76.3496374999998,-77.70077000000026,351.66296000000017,364.7558500000003,373.24300000000096,0.4735365000000911,0
1.36,2.12222,78.5703,-79.9228,351.683,365.024,373.243,77.37810550000016,-78.7296300000001,351.66079499999995,364.8782849999993,373.24300000000096,0.510656900000285,0
1.36,2.16667,79.6871,-81.0403,351.683,365.148,373.243,78.36488000000028,-79.7167854999999,351.6600549999985,364.9931900000001,373.24300000000096,0.5646979000004393,0
1.36,2.21111,80.8042,-82.1581,351.682,365.269,373.243,78.89471450000006,-80.24675650000007,351.65209499999867,364.7525400000008,373.24312000000094,0.8734628000002715,0
1.36,2.25556,81.9214,-83.2757,351.682,365.386,373.243,78.89471450000006,-80.24675650000007,351.65209499999867,364.7525400000008,373.24312000000094,1.3438228000002765,0
1.36,2.3,83.0384,-84.3934,351.681,365.499,373.243,78.89471450000006,-80.24675650000007,351.65209499999867,364.7525400000008,373.24312000000094,1.8131628000002677,0
1.40889,1.9,83.0384,-84.3934,351.681,365.499,373.243,76.49368799999993,-77.8433799999999,351.60108000000054,364.75300000000067,373.24300000000096,2.7841303999999867,0
1.40889,1.94444,83.0384,-84.3934,351.681,365.499,373.243,76.50739699999994,-77.8570949999999,351.60137500000053,364.7555550000007,373.24300000000096,2.7780755999999798,0
1.40889,1.98889,83.0384,-84.3934,351.681,365.499,373.243,76.57342499999993,-77.9231689999999,351.6010350000005,364.7641350000007,373.24300000000096,2.750007199999993,0
1.40889,2.03333,70.1192,-71.4609,351.562,362.341,373.243,76.56966499999993,-77.91945199999991,351.60163500000056,364.7639150000007,373.24300000000096,3.0743134000004035,0
1.40889,2.07778,71.1455,-72.4877,351.562,363.29,373.243,76.49135649999992,-77.84110649999991,351.60137500000053,364.7171450000007,373.243015000001,2.4331596000004025,0
1.40889,2.12222,72.1719,-73.5146,351.561,363.811,373.243,76.46120249999996,-77.8109079999999,351.59969000000046,364.52825500000057,373.24309000000096,1.8683291000003805,0
1.40889,2.16667,73.1923,-74.5383,351.56,363.83,373.243,76.26056099999995,-77.61011699999992,351.59520000000026,363.7627300000007,373.2433900000008,1.248587600000033,0
1.40889,2.21111,74.2184,-75.5649,351.56,364.185,373.243,74.74901199999995,-76.09749250000009,351.5668499999997,359.6856900000007,373.2449649999999,1.1142658999997934,0
1.40889,2.25556,75.2445,-76.5915,351.559,364.432,373.243,74.74901199999995,-76.09749250000009,351.5668499999997,359.6856900000007,373.2449649999999,1.1491240999997756,0
1.40889,2.3,76.2681,-77.6168,351.559,364.622,373.243,74.74901199999995,-76.09749250000009,351.5668499999997,359.6856900000007,373.2449649999999,1.596904099999776,0
1.45778,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.45778,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.50667,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.55556,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.70222,1.9,33.5794,-33.967,351.561,353.4,357.987,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.998060000000116,1
1.70222,1.94444,34.0918,-34.48,351.56,353.374,357.993,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.79678000000012,1
1.70222,1.98889,34.6034,-34.9912,351.558,353.35,358.0,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.59522000000012,1
1.70222,2.03333,35.1116,-35.4927,351.557,353.326,358.013,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.395280000000128,1
1.70222,2.07778,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.12222,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.16667,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.21111,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.25556,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.3,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.75111,1.9,28.0019,-28.4077,351.561,353.428,357.342,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,22.348820000000124,1
1.75111,1.94444,28.433,-28.8384,351.56,353.402,357.35,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,22.179860000000122,1
1.75111,1.98889,28.8585,-29.2624,351.558,353.381,357.357,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,22.012360000000122,1
1.75111,2.03333,29.2843,-29.6871,351.557,353.36,357.363,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.845060000000124,1
1.75111,2.07778,29.7129,-30.1161,351.556,353.336,357.366,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.677540000000118,1
1.75111,2.12222,30.1353,-30.5394,351.555,353.312,357.363,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.51360000000012,1
1.75111,2.16667,30.5595,-30.9617,351.553,353.295,357.37,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.34590000000012,1
1.75111,2.21111,30.9855,-31.3867,351.552,353.277,357.376,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.177900000000133,1
1.75111,2.25556,31.412,-31.8121,351.551,353.259,357.381,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.009920000000125,1
1.75111,2.3,31.8391,-32.2383,351.55,353.24,357.386,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,20.841860000000118,1
1.8,1.9,22.4244,-22.8568,351.56,353.467,356.838,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.66730000000012,1
1.8,1.94444,22.7662,-23.1988,351.559,353.44,356.84,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.535340000000133,1
1.8,1.98889,23.1091,-23.542,351.558,353.414,356.842,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.402720000000127,1
1.8,2.03333,23.4526,-23.8837,351.556,353.396,356.85,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.26728000000011,1
1.8,2.07778,23.7916,-24.2234,351.556,353.371,356.848,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.13694000000012,1
1.8,2.12222,24.137,-24.5677,351.554,353.352,356.855,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.00100000000012,1
1.8,2.16667,24.4797,-24.9104,351.554,353.33,356.857,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,23.86792000000012,1
1.8,2.21111,24.8222,-25.253,351.553,353.309,356.858,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,23.734700000000117,1
1.8,2.25556,25.1644,-25.5954,351.552,353.289,356.86,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,23.601180000000127,1
1.8,2.3,25.505,-25.9346,351.551,353.274,356.864,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,23.467220000000125,1
